date,series_id,value,series_description,frequency,frequency_description,units,units_description,project
2003-05-10,ICSA,417000,Initial Claims,w,weekly,lin,level,dashboard
2003-05-17,ICSA,425000,Initial Claims,w,weekly,lin,level,dashboard
2003-05-24,ICSA,419000,Initial Claims,w,weekly,lin,level,dashboard
2003-05-31,ICSA,431000,Initial Claims,w,weekly,lin,level,dashboard
2003-06-07,ICSA,429000,Initial Claims,w,weekly,lin,level,dashboard
2003-06-14,ICSA,421000,Initial Claims,w,weekly,lin,level,dashboard
2003-06-21,ICSA,408000,Initial Claims,w,weekly,lin,level,dashboard
2003-06-28,ICSA,429000,Initial Claims,w,weekly,lin,level,dashboard
2003-07-05,ICSA,433000,Initial Claims,w,weekly,lin,level,dashboard
2003-07-12,ICSA,412000,Initial Claims,w,weekly,lin,level,dashboard
2003-07-19,ICSA,403000,Initial Claims,w,weekly,lin,level,dashboard
2003-07-26,ICSA,398000,Initial Claims,w,weekly,lin,level,dashboard
2003-08-02,ICSA,401000,Initial Claims,w,weekly,lin,level,dashboard
2003-08-09,ICSA,404000,Initial Claims,w,weekly,lin,level,dashboard
2003-08-16,ICSA,398000,Initial Claims,w,weekly,lin,level,dashboard
2003-08-23,ICSA,391000,Initial Claims,w,weekly,lin,level,dashboard
2003-08-30,ICSA,407000,Initial Claims,w,weekly,lin,level,dashboard
2003-09-06,ICSA,422000,Initial Claims,w,weekly,lin,level,dashboard
2003-09-13,ICSA,394000,Initial Claims,w,weekly,lin,level,dashboard
2003-09-20,ICSA,379000,Initial Claims,w,weekly,lin,level,dashboard
2003-09-27,ICSA,387000,Initial Claims,w,weekly,lin,level,dashboard
2003-10-04,ICSA,386000,Initial Claims,w,weekly,lin,level,dashboard
2003-10-11,ICSA,376000,Initial Claims,w,weekly,lin,level,dashboard
2003-10-18,ICSA,387000,Initial Claims,w,weekly,lin,level,dashboard
2003-10-25,ICSA,379000,Initial Claims,w,weekly,lin,level,dashboard
2003-11-01,ICSA,363000,Initial Claims,w,weekly,lin,level,dashboard
2003-11-08,ICSA,371000,Initial Claims,w,weekly,lin,level,dashboard
2003-11-15,ICSA,370000,Initial Claims,w,weekly,lin,level,dashboard
2003-11-22,ICSA,354000,Initial Claims,w,weekly,lin,level,dashboard
2003-11-29,ICSA,357000,Initial Claims,w,weekly,lin,level,dashboard
2003-12-06,ICSA,367000,Initial Claims,w,weekly,lin,level,dashboard
2003-12-13,ICSA,363000,Initial Claims,w,weekly,lin,level,dashboard
2003-12-20,ICSA,354000,Initial Claims,w,weekly,lin,level,dashboard
2003-12-27,ICSA,349000,Initial Claims,w,weekly,lin,level,dashboard
2004-01-03,ICSA,356000,Initial Claims,w,weekly,lin,level,dashboard
2004-01-10,ICSA,354000,Initial Claims,w,weekly,lin,level,dashboard
2004-01-17,ICSA,362000,Initial Claims,w,weekly,lin,level,dashboard
2004-01-24,ICSA,353000,Initial Claims,w,weekly,lin,level,dashboard
2004-01-31,ICSA,376000,Initial Claims,w,weekly,lin,level,dashboard
2004-02-07,ICSA,380000,Initial Claims,w,weekly,lin,level,dashboard
2004-02-14,ICSA,356000,Initial Claims,w,weekly,lin,level,dashboard
2004-02-21,ICSA,359000,Initial Claims,w,weekly,lin,level,dashboard
2004-02-28,ICSA,348000,Initial Claims,w,weekly,lin,level,dashboard
2004-03-06,ICSA,344000,Initial Claims,w,weekly,lin,level,dashboard
2004-03-13,ICSA,338000,Initial Claims,w,weekly,lin,level,dashboard
2004-03-20,ICSA,346000,Initial Claims,w,weekly,lin,level,dashboard
2004-03-27,ICSA,340000,Initial Claims,w,weekly,lin,level,dashboard
2004-04-03,ICSA,335000,Initial Claims,w,weekly,lin,level,dashboard
2004-04-10,ICSA,355000,Initial Claims,w,weekly,lin,level,dashboard
2004-04-17,ICSA,364000,Initial Claims,w,weekly,lin,level,dashboard
2004-04-24,ICSA,339000,Initial Claims,w,weekly,lin,level,dashboard
2004-05-01,ICSA,324000,Initial Claims,w,weekly,lin,level,dashboard
2004-05-08,ICSA,329000,Initial Claims,w,weekly,lin,level,dashboard
2004-05-15,ICSA,349000,Initial Claims,w,weekly,lin,level,dashboard
2004-05-22,ICSA,342000,Initial Claims,w,weekly,lin,level,dashboard
2004-05-29,ICSA,337000,Initial Claims,w,weekly,lin,level,dashboard
2004-06-05,ICSA,355000,Initial Claims,w,weekly,lin,level,dashboard
2004-06-12,ICSA,339000,Initial Claims,w,weekly,lin,level,dashboard
2004-06-19,ICSA,354000,Initial Claims,w,weekly,lin,level,dashboard
2004-06-26,ICSA,348000,Initial Claims,w,weekly,lin,level,dashboard
2004-07-03,ICSA,326000,Initial Claims,w,weekly,lin,level,dashboard
2004-07-10,ICSA,345000,Initial Claims,w,weekly,lin,level,dashboard
2004-07-17,ICSA,355000,Initial Claims,w,weekly,lin,level,dashboard
2004-07-24,ICSA,348000,Initial Claims,w,weekly,lin,level,dashboard
2004-07-31,ICSA,341000,Initial Claims,w,weekly,lin,level,dashboard
2004-08-07,ICSA,336000,Initial Claims,w,weekly,lin,level,dashboard
2004-08-14,ICSA,332000,Initial Claims,w,weekly,lin,level,dashboard
2004-08-21,ICSA,343000,Initial Claims,w,weekly,lin,level,dashboard
2004-08-28,ICSA,352000,Initial Claims,w,weekly,lin,level,dashboard
2004-09-04,ICSA,326000,Initial Claims,w,weekly,lin,level,dashboard
2004-09-11,ICSA,331000,Initial Claims,w,weekly,lin,level,dashboard
2004-09-18,ICSA,341000,Initial Claims,w,weekly,lin,level,dashboard
2004-09-25,ICSA,351000,Initial Claims,w,weekly,lin,level,dashboard
2004-10-02,ICSA,335000,Initial Claims,w,weekly,lin,level,dashboard
2004-10-09,ICSA,338000,Initial Claims,w,weekly,lin,level,dashboard
2004-10-16,ICSA,327000,Initial Claims,w,weekly,lin,level,dashboard
2004-10-23,ICSA,338000,Initial Claims,w,weekly,lin,level,dashboard
2004-10-30,ICSA,332000,Initial Claims,w,weekly,lin,level,dashboard
2004-11-06,ICSA,330000,Initial Claims,w,weekly,lin,level,dashboard
2004-11-13,ICSA,337000,Initial Claims,w,weekly,lin,level,dashboard
2004-11-20,ICSA,313000,Initial Claims,w,weekly,lin,level,dashboard
2004-11-27,ICSA,335000,Initial Claims,w,weekly,lin,level,dashboard
2004-12-04,ICSA,343000,Initial Claims,w,weekly,lin,level,dashboard
2004-12-11,ICSA,316000,Initial Claims,w,weekly,lin,level,dashboard
2004-12-18,ICSA,322000,Initial Claims,w,weekly,lin,level,dashboard
2004-12-25,ICSA,320000,Initial Claims,w,weekly,lin,level,dashboard
2005-01-01,ICSA,356000,Initial Claims,w,weekly,lin,level,dashboard
2005-01-08,ICSA,369000,Initial Claims,w,weekly,lin,level,dashboard
2005-01-15,ICSA,332000,Initial Claims,w,weekly,lin,level,dashboard
2005-01-22,ICSA,329000,Initial Claims,w,weekly,lin,level,dashboard
2005-01-29,ICSA,331000,Initial Claims,w,weekly,lin,level,dashboard
2005-02-05,ICSA,307000,Initial Claims,w,weekly,lin,level,dashboard
